City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
ust-kuyga,70.0167,135.6,20.84,94.0,100.0,9.75,RU,1665266501.0
punta arenas,-53.15,-70.9167,46.51,66.0,75.0,19.57,CL,1665266397.0
hermanus,-34.4187,19.2345,53.8,85.0,77.0,8.59,ZA,1665266450.0
okakarara,-20.5833,17.4333,68.41,14.0,0.0,5.77,NA,1665266845.0
rudbar,30.15,62.6,61.61,15.0,0.0,7.99,AF,1665266846.0
marsaxlokk,35.8419,14.5431,73.08,77.0,0.0,2.3,MT,1665266814.0
hobart,-42.8794,147.3294,49.26,76.0,20.0,10.36,AU,1665266397.0
mount isa,-20.7333,139.5,64.17,48.0,0.0,14.97,AU,1665266496.0
mataura,-46.1927,168.8643,56.32,50.0,87.0,4.92,NZ,1665266398.0
jinchang,38.4953,102.1739,33.58,35.0,0.0,5.46,CN,1665266739.0
tasiilaq,65.6145,-37.6368,23.67,98.0,94.0,5.68,GL,1665266399.0
port alfred,-33.5906,26.891,59.18,91.0,14.0,1.01,ZA,1665266455.0
bluff,-46.6,168.3333,56.55,58.0,79.0,16.96,NZ,1665266402.0
new norfolk,-42.7826,147.0587,48.92,55.0,56.0,2.8,AU,1665266455.0
saint-augustin,51.226,-58.6502,49.53,92.0,100.0,7.83,CA,1665266337.0
kruisfontein,-34.0033,24.7314,54.88,80.0,3.0,7.11,ZA,1665266625.0
wageningen,51.9667,5.6667,47.95,93.0,6.0,3.44,NL,1665266767.0
kapaa,22.0752,-159.319,85.98,68.0,0.0,13.8,US,1665266846.0
ushuaia,-54.8,-68.3,46.06,71.0,40.0,5.75,AR,1665266846.0
severo-kurilsk,50.6789,156.125,44.13,74.0,99.0,12.84,RU,1665266846.0
jefferson city,38.5767,-92.1735,65.5,23.0,0.0,7.0,US,1665266847.0
barrow,71.2906,-156.7887,30.22,93.0,100.0,5.75,US,1665266847.0
polunochnoye,60.8697,60.4153,38.46,88.0,31.0,5.37,RU,1665266847.0
rikitea,-23.1203,-134.9692,70.84,69.0,43.0,18.88,PF,1665266847.0
sumbe,-11.2061,13.8437,74.14,87.0,95.0,8.7,AO,1665266847.0
north bend,43.4065,-124.2243,64.17,94.0,100.0,11.5,US,1665266847.0
airai,-8.9266,125.4092,62.64,74.0,91.0,3.15,TL,1665266848.0
synya,65.3718,58.0387,42.12,92.0,100.0,11.01,RU,1665266848.0
atuona,-9.8,-139.0333,76.95,73.0,17.0,18.92,PF,1665266848.0
kalmar,56.6616,16.3616,48.96,92.0,32.0,8.05,SE,1665266848.0
port lincoln,-34.7333,135.8667,51.96,72.0,39.0,4.07,AU,1665266848.0
santa helena de goias,-17.8136,-50.5969,84.34,45.0,87.0,5.39,BR,1665266848.0
vao,-22.6667,167.4833,73.35,81.0,15.0,21.65,NC,1665266848.0
ancud,-41.8697,-73.8203,48.87,65.0,8.0,9.4,CL,1665266848.0
esso,55.9333,158.7,29.39,84.0,37.0,3.56,RU,1665266848.0
sussex,41.1834,-74.6663,53.73,59.0,0.0,3.44,US,1665266848.0
yellowknife,62.456,-114.3525,51.57,76.0,100.0,7.16,CA,1665266848.0
ixtapa,20.7,-105.2,87.22,62.0,0.0,9.22,MX,1665266849.0
payo,-3.7508,103.6372,71.67,94.0,100.0,1.63,ID,1665266849.0
ishigaki,24.3448,124.1572,80.1,78.0,57.0,14.56,JP,1665266849.0
kodiak,57.79,-152.4072,53.11,76.0,100.0,10.36,US,1665266849.0
arraial do cabo,-22.9661,-42.0278,70.29,87.0,100.0,12.01,BR,1665266849.0
hithadhoo,-0.6,73.0833,81.01,74.0,30.0,13.8,MV,1665266477.0
karasjok,69.4719,25.5112,36.81,93.0,100.0,5.95,NO,1665266850.0
souillac,-20.5167,57.5167,70.18,68.0,20.0,12.66,MU,1665266482.0
bredasdorp,-34.5322,20.0403,53.62,90.0,98.0,0.6,ZA,1665266438.0
les cayes,18.2,-73.75,83.23,74.0,94.0,8.7,HT,1665266855.0
cape town,-33.9258,18.4232,61.92,81.0,20.0,18.41,ZA,1665266192.0
galesong,-5.3166,119.3661,75.22,78.0,98.0,8.75,ID,1665266855.0
kamenka,51.3223,42.7678,48.61,72.0,0.0,6.53,RU,1665266855.0
shumskiy,54.8318,99.1328,29.55,80.0,100.0,4.21,RU,1665266855.0
tuatapere,-46.1333,167.6833,56.53,62.0,99.0,8.63,NZ,1665266483.0
dongsheng,39.8161,109.9776,26.8,55.0,0.0,21.65,CN,1665266604.0
puerto ayora,-0.7393,-90.3518,76.96,88.0,80.0,10.0,EC,1665266179.0
waingapu,-9.6567,120.2641,79.79,83.0,66.0,6.22,ID,1665266855.0
dunedin,-45.8742,170.5036,55.53,57.0,83.0,2.77,NZ,1665266345.0
marystown,47.1666,-55.1483,55.67,97.0,100.0,8.3,CA,1665266856.0
neiafu,-18.65,-173.9833,77.68,83.0,75.0,16.11,TO,1665266856.0
praia da vitoria,38.7333,-27.0667,71.76,89.0,36.0,6.96,PT,1665266856.0
westport,41.1415,-73.3579,57.81,57.0,20.0,7.0,US,1665266856.0
huarmey,-10.0681,-78.1522,65.98,75.0,14.0,11.12,PE,1665266856.0
kenai,60.5544,-151.2583,51.15,98.0,100.0,0.0,US,1665266856.0
namibe,-15.1961,12.1522,69.64,86.0,100.0,4.16,AO,1665266857.0
faanui,-16.4833,-151.75,78.4,75.0,7.0,16.26,PF,1665266449.0
vila velha,-20.3297,-40.2925,75.15,88.0,75.0,11.5,BR,1665266398.0
busselton,-33.65,115.3333,55.63,75.0,71.0,4.74,AU,1665266397.0
ust-charyshskaya pristan,52.3934,83.6635,51.6,42.0,1.0,10.4,RU,1665266857.0
albany,42.6001,-73.9662,50.36,61.0,1.0,8.66,US,1665266397.0
vaini,-21.2,-175.2,74.66,75.0,100.0,27.49,TO,1665266455.0
yulara,-25.2406,130.9889,57.74,32.0,0.0,15.46,AU,1665266428.0
muros,42.7762,-9.0603,62.1,89.0,2.0,3.47,ES,1665266606.0
nikolskoye,59.7035,30.7861,51.69,83.0,100.0,9.75,RU,1665266461.0
thompson,55.7435,-97.8558,48.88,32.0,21.0,6.17,CA,1665266486.0
abilene,32.4487,-99.7331,77.18,35.0,20.0,8.05,US,1665266857.0
durango,24.8333,-104.8333,69.64,47.0,19.0,8.21,MX,1665266858.0
pevek,69.7008,170.3133,26.2,66.0,100.0,30.29,RU,1665266453.0
zhigansk,66.7697,123.3711,24.91,93.0,100.0,10.02,RU,1665266505.0
cegled,47.1727,19.7995,54.77,66.0,91.0,1.23,HU,1665266819.0
